cnt,title,description,link,pDate
1,'고-이-서-연' 출신만 여의사회장 2025년엔 '끝',"창립초기에는 여의사 배출수가 많은 고려의대와 이화의대 출신이 번갈아가면 1982년 서울의대(13대 <b>이길여</b>회장), 2000년 연세의대(제 20대 이영해 회장)출신이 발탁되면서 고려의대-이화의대-서울의대-연세의대 순으로... ",http://www.doctorsnews.co.kr/news/articleView.html?idxno=144430,2022-05-09 17:06:00
2,"통합 10주년 가천대, &quot;10년 성과 기반 '글로벌 100대 대학 진입', '학생 성공...",3일 열린 가천대 통합 10주년 기념식 및 비전선포식에서 인사하고 있는 <b>이길여</b> 총장. (사진 = 한명섭 기자)  가천대학교(총장 <b>이길여</b>)가 올해로 통합 10주년을 맞았다. 2012년 경원대와 통합하며 4년제 사립대 간 첫... ,http://news.unn.net/news/articleView.html?idxno=527696,2022-05-09 07:32:00
3,"가천대, 통합 10주년 '국내 10대, 세계 100대 대학' 비전 선포",<b>이길여</b> 가천대 총장은 “지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면 앞으로 10년은 그동안의 성과에 기반해 글로벌 교육을 선도하는 대학으로 도약하는 시기”라고... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000673286,2022-05-04 16:21:00
4,"가천대, 한국에너지기술평가원 에너지인력양성사업 선정",(사진=가천대 제공)  가천대학교(총장 <b>이길여</b>)가 산업통상자원부 산하 한국에너지기술평가원이 주관하는 에너지인력양성사업(초대용량 풍력발전시스템 혁신연구센터 사업 1단계)에 최근 선정됐다. 총 3단계 사업으로... ,http://news.unn.net/news/articleView.html?idxno=527737,2022-05-04 14:56:00
5,<b>이길여</b> 총장 “공격적 창업 지원으로 학생 성공시대 열겠다”,<b>이길여</b> 가천대 총장은 이 같은 향후 학교 목표와 실행방안을 발표하면서 “공격적인 창업 지원으로 학생 성공시대를 열겠다”고 밝혔다. 가천대는 3일 경기 성남시 수정구 교내 광장에서 ‘통합 10주년 비전 선포식... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=021&aid=0002512398,2022-05-04 11:51:00
6,"가천대, 통합 10주년 비전 선포…'학생성공시대' 추진",<b>이길여</b> 총장은 기념식에서 &quot;앞으로 미래사회를 이끌 신성장산업분야에 대한 연구지원을 강화하고 창업 지원 등 학생이 성공하는 플랫폼을 만들겠다&quot;고 밝혔습니다. 지난 2012년 가천의과대학교와 경원대가 통합해... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001660798,2022-05-04 09:50:00
7,"가천대, 통합 10주년 비전 선포…'학생성공시대' 추진",<b>이길여</b> 총장은 기념식에서 &quot;앞으로 미래사회를 이끌 신성장산업분야에 대한 연구지원을 강화하고 창업 지원 등 학생이 성공하는 플랫폼을 만들겠다&quot;고 밝혔습니다. 지난 2012년 가천의과대학교와 경원대가 통합해... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001660790,2022-05-04 09:21:00
8,"통합 10주년 가천대, 대학통합 성공모델로 주목","'5년 내 국내 10대, 10년 내 글로벌 100대 대학 진입' 비전 선포 <b>이길여</b>총장 &quot;창업지원 등으로 '학생성공시대' 만들겠다&quot; 가천대학교(총장 <b>이길여</b>)가 통합 10주년을 맞아 3일 대학 비전타워 스타덤광장 특설무대에서... ",http://www.naeil.com/news_view/?id_art=422206,2022-05-04 08:04:00
9,"가천대, ‘5년 내 국내 10대 대학, 10년 내 글로벌 100대 대학 도약’ 비전 선...","<b>이길여</b> 총장을 비롯해 송석형 가천학원 이사장과 이태훈 가천대 길병원 의료원장, 윤성태 가천문화재단... <b>이길여</b> 총장은 “지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003270427,2022-05-03 21:22:00
10,가천대 &quot;5년 내 국내 TOP 10·글로벌 TOP 100 도약&quot;,"<b>이길여</b> 총장은 &quot;지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면, 앞으로 10년은 그동안의 성과에 기반해 글로벌 교육을 선도하는 대학으로 도약하는 시기&quot;라며 &quot;첨단산업... ",http://www.kihoilbo.co.kr/news/articleView.html?idxno=977850,2022-05-03 21:04:00
